,From,To,Species,Gene Name
95,NP_253841,300562303,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA5154)
96,NP_253285,15599791,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4595)
97,NP_250291,15596797,Pseudomonas aeruginosa PAO1,cytochrome C(PA1600)
98,NP_253283,15599789,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4593)
99,NP_253284,15599790,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4594)
100,NP_248895,15595401,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0204)
101,NP_248894,15595400,Pseudomonas aeruginosa PAO1,ABC transporter(PA0203)
102,NP_248896,15595402,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0205)
103,NP_253839,15600345,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5152)
104,NP_251017,15597523,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2327)
105,NP_252228,15598734,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3538)
106,NP_251778,15598284,Pseudomonas aeruginosa PAO1,NAD kinase(PA3088)
107,NP_251019,15597525,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2329)
108,NP_250567,15597073,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein/permease(PA1876)
109,NP_252588,15599094,Pseudomonas aeruginosa PAO1,RNA polymerase sigma factor(PA3899)
110,NP_253395,15599901,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4707)
111,NP_252065,15598571,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3375)
112,NP_251098,15597604,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA2408)
113,NP_249294,15595800,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA0603)
114,NP_251099,15597605,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2409)
115,NP_249293,15595799,Pseudomonas aeruginosa PAO1,ABC transporter(PA0602)
116,NP_249296,15595802,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0605)
117,NP_252181,17369004,Pseudomonas aeruginosa PAO1,electron transport complex subunit C(PA3491)
118,NP_249295,15595801,Pseudomonas aeruginosa PAO1,ABC transporter(PA0604)
119,NP_252182,17369002,Pseudomonas aeruginosa PAO1,electron transport complex subunit D(PA3492)
120,NP_252183,17369000,Pseudomonas aeruginosa PAO1,electron transport complex subunit G(PA3493)
121,NP_253151,15599657,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4461)
122,NP_254087,554753024,Pseudomonas aeruginosa PAO1,electron transfer flavoprotein subunit alpha(PA5400)
123,NP_252184,17368997,Pseudomonas aeruginosa PAO1,electron transport complex subunit E(PA3494)
124,NP_249297,15595803,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA0606)
125,NP_252580,15599086,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA3891)
126,NP_249212,15595718,Pseudomonas aeruginosa PAO1,cytochrome C oxidase subunit(PA0521)
127,NP_248763,15595271,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA0073)
128,NP_252180,17369007,Pseudomonas aeruginosa PAO1,electron transport complex subunit B(PA3490)
129,NP_253709,15600215,Pseudomonas aeruginosa PAO1,potassium efflux protein KefA(PA5022)
130,NP_250956,15597462,Pseudomonas aeruginosa PAO1,cytochrome C(PA2266)
131,NP_251922,15598428,Pseudomonas aeruginosa PAO1,DNA polymerase III subunit epsilon(PA3232)
132,NP_249609,15596115,Pseudomonas aeruginosa PAO1,cytochrome b561(PA0918)
133,NP_253309,15599815,Pseudomonas aeruginosa PAO1,cytochrome C(PA4619)
134,NP_251643,300593129,Pseudomonas aeruginosa PAO1,electron transfer flavoprotein-ubiquinone oxidoreductase(PA2953)
135,NP_252578,15599084,Pseudomonas aeruginosa PAO1,ABC transporter(PA3889)
136,NP_251368,15597874,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA2678)
137,NP_253546,554753018,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4859)
138,NP_252579,15599085,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3890)
139,NP_253547,15600053,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4860)
140,NP_253548,15600054,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4861)
141,NP_253549,15600055,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4862)
142,NP_250033,15596539,Pseudomonas aeruginosa PAO1,ABC transporter(PA1342)
143,NP_253146,15599652,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA4456)
144,NP_252212,15598718,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux transporter(PA3522)
145,NP_252179,18203007,Pseudomonas aeruginosa PAO1,electron transport complex subunit A(PA3489)
146,NP_252213,15598719,Pseudomonas aeruginosa PAO1,resistance-nodulation-cell division (RND) efflux membrane fusion protein(PA3523)
147,NP_252577,15599083,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA3888)
148,NP_253781,15600287,Pseudomonas aeruginosa PAO1,ABC transporter ATP-binding protein(PA5094)
149,NP_253662,15600168,Pseudomonas aeruginosa PAO1,NAD(P)H quinone oxidoreductase(PA4975)
150,NP_253783,15600289,Pseudomonas aeruginosa PAO1,ABC transporter(PA5096)
151,NP_253145,15599651,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA4455)
152,NP_253782,218329956,Pseudomonas aeruginosa PAO1,ABC transporter permease(PA5095)
