From	To	Species	Gene Name
NP_253190	9950739	Pseudomonas aeruginosa PAO1	ABC transporter(PA4500)
NP_249016	9946172	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0325)
NP_249016	15595522	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0325)
NP_249015	9946171	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0324)
NP_249015	15595521	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA0324)
NP_253192	9950742	Pseudomonas aeruginosa PAO1	ABC transporter(PA4502)
NP_253192	15599698	Pseudomonas aeruginosa PAO1	ABC transporter(PA4502)
NP_249895	9947131	Pseudomonas aeruginosa PAO1	NAD(P)H-dependent FMN reductase(PA1204)
NP_249895	15596401	Pseudomonas aeruginosa PAO1	NAD(P)H-dependent FMN reductase(PA1204)
NP_249895	81541544	Pseudomonas aeruginosa PAO1	NAD(P)H-dependent FMN reductase(PA1204)
NP_249017	9946173	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0326)
NP_249017	15595523	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA0326)
NP_250998	9948341	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2308)
NP_250998	15597504	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2308)
NP_250514	9947808	Pseudomonas aeruginosa PAO1	NADH pyrophosphatase(PA1823)
NP_250514	15597020	Pseudomonas aeruginosa PAO1	NADH pyrophosphatase(PA1823)
NP_250514	12230368	Pseudomonas aeruginosa PAO1	NADH pyrophosphatase(PA1823)
NP_249804	15596310	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA1113)
NP_249804	9947031	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein/permease(PA1113)
NP_249928	9947167	Pseudomonas aeruginosa PAO1	multidrug resistance efflux pump(PA1237)
NP_249928	15596434	Pseudomonas aeruginosa PAO1	multidrug resistance efflux pump(PA1237)
NP_251604	15598110	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2914)
NP_251604	9949007	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2914)
NP_249929	15596435	Pseudomonas aeruginosa PAO1	multidrug efflux pump outer membrane protein(PA1238)
NP_249929	9947168	Pseudomonas aeruginosa PAO1	multidrug efflux pump outer membrane protein(PA1238)
NP_252138	15598644	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3448)
NP_252138	9949589	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA3448)
NP_250751	9948069	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2061)
NP_250751	15597257	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2061)
NP_250750	9948068	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2060)
NP_250750	15597256	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2060)
NP_251600	52783530	Pseudomonas aeruginosa PAO1	manganese efflux pump MntP(PA2910)
NP_251600	9949003	Pseudomonas aeruginosa PAO1	manganese efflux pump MntP(PA2910)
NP_251600	15598106	Pseudomonas aeruginosa PAO1	manganese efflux pump MntP(PA2910)
NP_250231	227479379	Pseudomonas aeruginosa PAO1	multidrug efflux system protein MdtI(PA1540)
NP_250231	15596737	Pseudomonas aeruginosa PAO1	multidrug efflux system protein MdtI(PA1540)
NP_250231	9947499	Pseudomonas aeruginosa PAO1	multidrug efflux system protein MdtI(PA1540)
NP_251602	15598108	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2912)
NP_251602	9949005	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA2912)
NP_250077	15596583	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA1386)
NP_250077	9947331	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA1386)
NP_250997	9948340	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2307)
NP_250997	15597503	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2307)
NP_250116	9947374	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA1425)
NP_250116	15596622	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA1425)
NP_252136	9949587	Pseudomonas aeruginosa PAO1	NAD(P)H-dependent FMN reductase(PA3446)
NP_252136	15598642	Pseudomonas aeruginosa PAO1	NAD(P)H-dependent FMN reductase(PA3446)
NP_252137	15598643	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3447)
NP_252137	9949588	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3447)
NP_252137	81857081	Pseudomonas aeruginosa PAO1	ABC transporter ATP-binding protein(PA3447)
NP_251041	9948388	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2351)
NP_251041	15597547	Pseudomonas aeruginosa PAO1	ABC transporter permease(PA2351)
NP_253186	9950735	Pseudomonas aeruginosa PAO1	ABC transporter(PA4496)
NP_253186	15599692	Pseudomonas aeruginosa PAO1	ABC transporter(PA4496)
