,GENENAME,ORG,ENTREZID,REFSEQ,LOG2FC,True_EID
43,ABC_transporter,PA,880590,NP_252362,-0.040999534,15598868
44,ABC_transporter,PA,879859,NP_252527,0.006645677,15599033
45,ABC_transporter,PA,878813,NP_252580,-0.119039195,15599086
46,ABC_transporter,PA,879032,NP_252726,-0.168747373,15599232
47,ABC_transporter,PA,878673,NP_252753,-0.155293677,15599259
48,ABC_transporter,PA,880274,NP_252881,-0.078732607,15599387
49,ABC_transporter,PA,880073,NP_252912,0.207688767,15599418
50,ABC_transporter,PA,880074,NP_252913,0.0202435,15599419
51,ABC_transporter,PA,881000,NP_253146,0.068865464,15599652
52,ABC_transporter,PA,881018,NP_253151,-0.210259195,15599657
53,ABC_transporter,PA,881158,NP_253195,0.098168493,218280368
54,ABC_transporter,PA,881053,NP_253284,-0.037417633,15599790
55,ABC_transporter,PA,881059,NP_253285,0.145568472,15599791
56,ABC_transporter,PA,877937,NP_253548,0.112499631,15600054
57,ABC_transporter,PA,877938,NP_253549,-0.00462301,15600055
58,ABC_transporter,PA,879735,NP_253596,-0.038466487,15600102
59,ABC_transporter,PA,878157,NP_253597,-0.291093419,15600103
60,ABC_transporter,PA,881153,NP_253761,-0.202791652,15600267
61,ABC_transporter,PA,878341,NP_253781,-0.093479097,15600287
62,ABC_transporter,PA,879975,NP_253839,-0.104607064,15600345
63,ABC_transporter,PA,880736,NP_253939,-0.062233697,15600445
64,ABC_transporter,PA,880284,NP_254063,0.006646434,15600569
65,ABC_transporter,PA,877864,NP_254190,0.083596236,81856907
66,ABC_transporter,PA,882151,NP_249551,-0.011296025,15596057
67,ABC_transporter,PA,882144,NP_249804,-0.041608034,15596310
68,ABC_transporter,PA,882231,NP_250567,0.440914214,15597073
69,ABC_transporter,PA,882399,NP_251918,0.008373162,15598424
70,ABC_transporter,PA,880797,NP_253918,0.156942198,15600424
71,ABC_transporter,PA,879286,NP_248827,0.095018684,15595335
72,ABC_transporter,PA,879399,NP_248828,0.136221723,15595336
73,ABC_transporter,PA,879256,NP_248875,0.197725507,15595383
74,ABC_transporter,PA,878513,NP_248895,-0.039300507,15595401
75,ABC_transporter,PA,879480,NP_248896,0.052360764,15595402
76,ABC_transporter,PA,879407,NP_249015,-0.094219886,15595521
77,ABC_transporter,PA,879238,NP_249016,-0.10548077,15595522
78,ABC_transporter,PA,878376,NP_249296,-0.173374196,15595802
79,ABC_transporter,PA,880768,NP_249297,-0.250715637,15595803
80,ABC_transporter,PA,881324,NP_249949,-0.147457611,15596455
81,ABC_transporter,PA,881977,NP_250499,-0.151350897,15597005
82,ABC_transporter,PA,878361,NP_250500,-0.149042068,15597006
83,ABC_transporter,PA,877721,NP_250749,-0.101466366,15597255
84,ABC_transporter,PA,877849,NP_250750,0.026763792,15597256
85,ABC_transporter,PA,879766,NP_250985,-0.118960796,15597491
86,ABC_transporter,PA,880804,NP_250997,0.118910855,15597503
87,ABC_transporter,PA,883075,NP_251017,0.232079245,15597523
88,ABC_transporter,PA,881932,NP_251041,-0.092444902,15597547
89,ABC_transporter,PA,879638,NP_251099,0.037849525,15597605
90,ABC_transporter,PA,882387,NP_251368,-0.202641234,15597874
91,ABC_transporter,PA,880412,NP_251501,-0.114115307,15598007
92,ABC_transporter,PA,882646,NP_251604,-0.002871231,15598110
93,ABC_transporter,PA,882550,NP_251901,-0.107992352,15598407
94,ABC_transporter,PA,882415,NP_251942,-0.391800078,15598448
95,ABC_transporter,PA,882416,NP_251943,-0.122139049,15598449
96,ABC_transporter,PA,882481,NP_252006,0.078642763,15598512
97,ABC_transporter,PA,879101,NP_252133,-0.10693408,15598639
98,ABC_transporter,PA,879113,NP_252138,0.074897538,15598644
99,ABC_transporter,PA,879161,NP_252202,-0.001624764,15598708
100,ABC_transporter,PA,879769,NP_252361,-0.030020981,15598867
101,ABC_transporter,PA,879812,NP_252526,-0.030809008,15599032
102,ABC_transporter,PA,878804,NP_252577,-0.034665272,15599083
103,ABC_transporter,PA,878812,NP_252579,-0.003820885,15599085
104,ABC_transporter,PA,880355,NP_252882,-0.355759141,15599388
105,ABC_transporter,PA,880356,NP_252883,-0.07980889,15599389
106,ABC_transporter,PA,881008,NP_253145,0.044815052,15599651
107,ABC_transporter,PA,881080,NP_253193,0.109725601,15599699
108,ABC_transporter,PA,881081,NP_253194,-0.029768218,300587309
109,ABC_transporter,PA,881052,NP_253283,0.068903931,15599789
110,ABC_transporter,PA,881537,NP_253395,-0.040166612,15599901
111,ABC_transporter,PA,880868,NP_253546,0.096778642,554753018
112,ABC_transporter,PA,880869,NP_253547,0.091985517,15600053
113,ABC_transporter,PA,879764,NP_253762,-0.103815615,300562301
114,ABC_transporter,PA,879514,NP_253782,0.188518602,218329956
115,ABC_transporter,PA,879970,NP_253841,0.002117768,300562303
116,ABC_transporter,PA,880796,NP_253917,0.070717974,15600423
117,ABC_transporter,PA,878443,NP_254064,-0.006774554,15600570
118,cytochrome,PA,882109,NP_250547,-0.046220105,15597053
119,cytochrome,PA,880051,NP_252822,-0.127532153,15599328
120,cytochrome,PA,877792,NP_254178,-0.002603548,15600684
121,cytochrome,PA,880944,NP_253120,0.025740609,15599626
122,cytochrome,PA,878803,NP_249609,0.106819428,15596115
123,cytochrome,PA,881945,NP_250291,-0.088947286,15596797
124,cytochrome,PA,879571,NP_250956,-0.082607976,15597462
125,cytochrome,PA,879889,NP_251172,-0.083749028,15597678
126,cytochrome,PA,880955,NP_253261,0.359036124,15599767
127,cytochrome,PA,881146,NP_253309,-0.242822372,15599815
128,cytochrome,PA,882009,NP_248797,-0.120742975,15595305
129,cytochrome,PA,882206,NP_249212,-0.076256746,15595718
130,cytochrome,PA,881210,NP_253119,0.214947367,15599625
131,cytochrome,PA,879833,NP_251165,0.104974271,15597671
132,cytochrome,PA,882496,NP_252021,-0.102422275,15598527
133,cytochrome,PA,878251,NP_254015,-0.08586034,15600521
134,DNA_polymerase,PA,882393,NP_251922,-0.129905413,15598428
135,DNA_polymerase,PA,880686,NP_249360,-0.004573471,308154503
136,efflux_transporter,PA,882687,NP_251600,-0.178787107,52783530
137,efflux_transporter,PA,878839,NP_250709,0.229515684,15597215
138,efflux_transporter,PA,878882,NP_250708,0.048421814,15597214
139,efflux_transporter,PA,881377,NP_253065,-0.413009141,15599571
140,efflux_transporter,PA,880556,NP_253981,0.15392307,15600487
141,efflux_transporter,PA,881203,NP_249929,-0.003427041,15596435
142,efflux_transporter,PA,883069,NP_250231,-0.01107986,227479379
143,efflux_transporter,PA,881184,NP_249928,-0.175375464,15596434
144,efflux_transporter,PA,881258,NP_253709,-0.218333179,15600215
145,efflux_transporter,PA,877919,NP_254205,0.121130656,15600711
146,efflux_transporter,PA,882149,NP_248846,0.124362774,15595354
147,efflux_transporter,PA,882134,NP_248847,0.115310161,15595355
148,efflux_transporter,PA,881806,NP_250126,-0.164462928,300574701
149,efflux_transporter,PA,882937,NP_251218,-0.330168612,15597724
150,efflux_transporter,PA,879790,NP_252213,-0.147007807,15598719
151,efflux_transporter,PA,879603,NP_252367,0.103089223,15598873
152,efflux_transporter,PA,881374,NP_253064,0.032532193,15599570
153,efflux_transporter,PA,882140,NP_248848,0.088564656,15595356
154,efflux_transporter,PA,881815,NP_250127,-0.175552088,15596633
155,efflux_transporter,PA,882888,NP_251216,-0.156606985,15597722
156,efflux_transporter,PA,882889,NP_251217,-0.183097682,218310075
157,efflux_transporter,PA,878906,NP_252212,-0.132296101,15598718
158,efflux_transporter,PA,879602,NP_252366,-0.006230279,15598872
159,electron_transfer,PA,882142,NP_254087,-0.021877344,554753024
160,electron_transfer,PA,880159,NP_251643,0.018347891,300593129
161,electron_transfer,PA,879985,NP_252179,-0.032290488,18203007
162,electron_transfer,PA,879986,NP_252180,0.060032921,17369007
163,electron_transfer,PA,879869,NP_252181,-0.128151568,17369004
164,electron_transfer,PA,879870,NP_252182,-0.099251828,17369002
165,electron_transfer,PA,879980,NP_252184,0.089552514,17368997
166,electron_transfer,PA,879979,NP_252183,0.085568598,17369000
167,flagellar_motility,PA,880874,NP_249794,-0.204454811,15596300
168,flagellar_motility,PA,882517,NP_252040,-0.030338066,15598546
169,flagellar_motility,PA,881856,NP_250133,-0.072224726,15596639
170,flagellar_motility,PA,879662,NP_253920,-0.071983785,15600426
171,flagellar_motility,PA,881896,NP_249786,0.213116239,15596292
172,NADH_NADPH,PA,882736,NP_251778,-0.001136865,15598284
173,NADH_NADPH,PA,882135,NP_249434,0.017543141,81622542
174,NADH_NADPH,PA,879925,NP_252161,-0.07755504,81783645
175,NADH_NADPH,PA,879981,NP_249816,0.026132398,38258248
176,NADH_NADPH,PA,879533,NP_249888,0.064074575,38258247
177,NADH_NADPH,PA,879344,NP_249915,-0.033495321,15596421
178,NADH_NADPH,PA,879501,NP_249916,-0.000380085,15596422
179,NADH_NADPH,PA,880914,NP_253662,0.014372551,15600168
180,NADH_NADPH,PA,882133,NP_249895,0.090753439,81541544
181,NADH_NADPH,PA,879615,NP_252136,-0.089981394,15598642
182,NADH_NADPH,PA,880282,NP_250514,0.05453518,15597020
183,NADH_NADPH,PA,881501,NP_250574,-0.104727368,81783760
184,RNA_polymerase,PA,880895,NP_249163,0.009697612,15595669
185,RNA_polymerase,PA,877867,NP_250740,0.070047704,15597246
186,RNA_polymerase,PA,877960,NP_250783,-0.1310908,15597289
187,RNA_polymerase,PA,882789,NP_251586,-0.025949132,15598092
188,RNA_polymerase,PA,878896,NP_252588,-0.135939539,15599094
189,RNA_polymerase,PA,878636,NP_253583,-0.248446076,15600089
190,RNA_polymerase,PA,882473,NP_251998,-0.057712866,41017802
191,ABC_transporter,EC,947729,NP_417662,-0.111490897,999848937
192,ABC_transporter,EC,947954,NP_417658,-0.080101454,999848940
193,ABC_transporter,EC,947732,NP_417661,-0.180997353,999848938
194,ABC_transporter,EC,945582,NP_416848,0.079973476,999849727
195,ABC_transporter,EC,947710,NP_417659,0.004128476,999848939
196,cytochrome,EC,947241,NP_415935,0.107564247,999850623
197,cytochrome,EC,946491,NP_416483,0.031598856,999850084
198,cytochrome,EC,945585,NP_415497,-0.052543164,999851051
199,cytochrome,EC,947547,NP_415498,-0.124635083,999851050
200,cytochrome,EC,947098,NP_417102,0.051717536,999851450
201,cytochrome,EC,946709,NP_416702,0.06311348,999849874
202,cytochrome,EC,1450246,YP_588444,0.130993195,999851277
203,cytochrome,EC,945341,NP_415261,-0.002179272,999851279
204,cytochrome,EC,945347,NP_415262,0.042342407,999851278
205,cytochrome,EC,945615,NP_414965,0.072019731,999847358
206,cytochrome,EC,945080,NP_414966,-0.107676367,999847357
207,cytochrome,EC,946897,NP_414964,-0.030997593,999847359
208,cytochrome,EC,944918,NP_414963,0.126189605,999847360
209,DNA_polymerase,EC,944779,NP_414602,-0.043669939,999847711
210,DNA_polymerase,EC,944877,NP_414726,-0.049982858,999847592
211,DNA_polymerase,EC,946441,NP_414751,-0.083578389,16128202
212,DNA_polymerase,EC,948218,NP_418156,-0.000255437,999848429
213,DNA_polymerase,EC,948787,NP_418680,-0.078904851,999847914
214,DNA_polymerase,EC,945661,NP_415617,0.022924144,999850934
215,DNA_polymerase,EC,947573,NP_415173,0.030688962,999847152
216,DNA_polymerase,EC,948890,NP_418789,-0.136057974,999847800
217,DNA_polymerase,EC,947471,NP_416356,0.159480257,999850204
218,DNA_polymerase,EC,945105,NP_415003,0.00396347,999847319
219,DNA_polymerase,EC,944922,NP_414766,-0.006128302,999847551
220,efflux_transporter,EC,945365,NP_415283,-0.03748319,999851256
221,efflux_transporter,EC,947559,NP_416160,0.134328172,999850401
222,efflux_transporter,EC,945112,NP_414996,-0.075466742,999847327
223,efflux_transporter,EC,947166,NP_417170,-0.01279957,999849413
224,efflux_transporter,EC,945108,NP_414995,0.073221344,999847328
225,efflux_transporter,EC,945448,NP_415363,-0.024113009,999851180
226,efflux_transporter,EC,947167,NP_417171,-0.055531135,999849412
227,efflux_transporter,EC,947768,NP_417732,-0.060711158,999848867
228,efflux_transporter,EC,948180,NP_418129,0.002876431,999848457
229,efflux_transporter,EC,948219,NP_418166,-0.158348038,999848420
230,efflux_transporter,EC,948861,NP_418757,-0.02311879,999847827
231,efflux_transporter,EC,947333,NP_416116,0.06201301,999850444
232,efflux_transporter,EC,946139,NP_416117,0.265816965,999850443
233,efflux_transporter,EC,945883,YP_025307,0.133215488,999850381
234,efflux_transporter,EC,946604,NP_416578,-0.06660718,999849995
235,efflux_transporter,EC,946606,NP_416579,-0.052074597,999849994
236,efflux_transporter,EC,946608,NP_416580,0.030753492,999849993
237,efflux_transporter,EC,948317,YP_026264,0.019117539,999848325
238,efflux_transporter,EC,945282,NP_417169,0.074457207,999849414
239,electron_transfer,EC,947316,NP_414583,-0.159569162,999847727
